strategy,timeframe,requested_window,in_sample_days,out_sample_days,step_days,folds,profitable_oos_folds,avg_oos_sharpe,avg_oos_profit_pct,worst_oos_drawdown_pct,profitable_folds_pass,avg_sharpe_pass,avg_profit_pass,worst_drawdown_pass,step3_pass,decision,summary_csv
TimeSeriesMomentumSpot,1d,2020-01-01..2025-12-01,730,180,180,7,3,-0.62,6.99,35.57,false,false,true,false,false,Fail: profitable folds below 4; average OOS Sharpe not positive; worst OOS drawdown above 10%,TimeSeriesMomentumSpot/walk_forward_summary.csv
DonchianBreakoutDailyTop20,1d,2020-01-01..2025-12-01,730,180,180,7,3,0.28,13.63,19.20,false,true,true,false,false,Fail: profitable folds below 4; worst OOS drawdown above 10%,DonchianBreakoutDailyTop20/walk_forward_summary.csv
